                leaf          error rate             true nn           subdomain
               0.015                   0              0.1798             6523.43
                0.03                   0            0.244521             13046.9
                0.06                   0            0.330255             26093.8
                0.09                   0            0.422885             52187.5
                 0.1                   0            0.422885             52187.5
                0.13                   0            0.532867              104375
                0.15                   0            0.532867              104375
                0.17                   0            0.532867              104375
                0.19                   0            0.532867              104375
                0.21                   0            0.532867              104375
