                leaf          error rate             true nn           subdomain
               0.015                   0            0.392406             6523.44
                0.03                   0            0.471012             13046.9
                0.06                   0              0.5558             26093.8
                0.09                   0            0.644636             52187.5
                 0.1                   0            0.644636             52187.5
                0.13                   0            0.749885              104375
                0.15                   0            0.749885              104375
                0.17                   0            0.749885              104375
                0.19                   0            0.749885              104375
                0.21                   0            0.749885              104375
