                leaf          error rate             true nn           subdomain
               0.001                   0              0.0316             929.295
               0.002                   0              0.0442             1858.59
               0.004                   0              0.0625             3717.17
               0.006                   0              0.0625             3717.17
               0.008                   0              0.0904             7434.31
                0.01                   0              0.0904             7434.31
               0.015                   0              0.0904             7434.31
                0.02                   0              0.1329             14868.6
                0.03                   0              0.1329             14868.6
                0.05                   0              0.1944             29737.3
