                leaf          error rate             true nn           subdomain
               0.001                   0              0.1908              929.31
               0.002                   0              0.2516             1858.59
               0.004                   0              0.3236             3717.16
               0.006                   0              0.3236             3717.16
               0.008                   0              0.4114             7434.32
                0.01                   0              0.4114             7434.32
               0.015                   0              0.4114             7434.32
                0.02                   0              0.5114             14868.7
                0.03                   0              0.5114             14868.7
                0.05                   0              0.6149             29737.3
