                leaf          error rate             true nn           subdomain
               0.001                   0              0.0803             929.316
               0.002                   0              0.1032             1858.61
               0.004                   0              0.1337             3717.18
               0.006                   0              0.1337             3717.18
               0.008                   0               0.172             7434.34
                0.01                   0               0.172             7434.34
               0.015                   0               0.172             7434.34
                0.02                   0              0.2261             14868.7
                0.03                   0              0.2261             14868.7
                0.05                   0               0.291             29737.3
