                leaf          error rate             true nn           subdomain
               0.005                   0               0.377             390.675
                0.01                   0              0.4779             781.276
               0.015                   0              0.4779             781.276
                0.02                   0              0.5928              1562.5
                0.03                   0              0.5928              1562.5
                0.05                   0              0.7029             3124.99
                0.08                   0              0.8068                6250
                 0.1                   0              0.8068                6250
                0.13                   0              0.8857               12500
                0.15                   0              0.8857               12500
