                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.005                0.05                   0              0.3382                 459             2.14016
               0.005                 0.1                   0              0.3641                 362             6.18496
                0.01                0.05                   0              0.4109                 836             1.94688
                0.01                 0.1                   0              0.4239                 604             5.15584
               0.015                0.05                   0              0.4109                 836             1.94688
               0.015                 0.1                   0              0.4962                1007             4.29824
                0.02                0.05                   0              0.4921                1521             1.77088
                0.02                 0.1                   0              0.5628                1679             3.58272
                0.03                0.05                   0               0.572                2767             1.61024
                0.03                 0.1                   0              0.6336                2799              2.9856
                0.05                0.05                   0               0.572                2767             1.61024
                0.05                 0.1                   0              0.7022                4665             2.48832
                0.08                0.05                   0               0.655                5032               1.464
                0.08                 0.1                   0              0.7733                7776              2.0736
                 0.1                0.05                   0              0.7342                9150             1.33096
                 0.1                 0.1                   0              0.7733                7776              2.0736
                0.13                0.05                   0              0.7342                9150             1.33096
                0.13                 0.1                   0               0.834               12960               1.728
                0.15                0.05                   0              0.7342                9150             1.33096
                0.15                 0.1                   0               0.834               12960               1.728
