                leaf          error rate             true nn           subdomain
               0.001                   0              0.1757             929.295
               0.002                   0               0.221             1858.58
               0.004                   0               0.281             3717.16
               0.006                   0               0.281             3717.16
               0.008                   0              0.3499             7434.32
                0.01                   0              0.3499             7434.32
               0.015                   0              0.3499             7434.32
                0.02                   0              0.4308             14868.6
                0.03                   0              0.4308             14868.6
                0.05                   0              0.5205             29737.3
