                leaf          error rate             true nn           subdomain
               0.005                   0              0.2502             390.624
                0.01                   0              0.3231             781.239
               0.015                   0              0.3231             781.239
                0.02                   0              0.4149              1562.5
                0.03                   0              0.4149              1562.5
                0.05                   0              0.5163                3125
                0.08                   0              0.6311                6250
                 0.1                   0              0.6311                6250
                0.13                   0              0.7402               12500
                0.15                   0              0.7402               12500
