                leaf          error rate             true nn           subdomain
               0.005                   0              0.0838             390.647
                0.01                   0              0.1222             781.248
               0.015                   0              0.1222             781.248
                0.02                   0              0.1758              1562.5
                0.03                   0              0.1758              1562.5
                0.05                   0              0.2494             3125.02
                0.08                   0              0.3567             6250.01
                 0.1                   0              0.3567             6250.01
                0.13                   0              0.4747               12500
                0.15                   0              0.4747               12500
