                leaf          error rate             true nn           subdomain
               0.005                   0              0.1051             390.626
                0.01                   0              0.1488             781.254
               0.015                   0              0.1488             781.254
                0.02                   0              0.2038             1562.51
                0.03                   0              0.2038             1562.51
                0.05                   0              0.2778                3125
                0.08                   0              0.3639                6250
                 0.1                   0              0.3639                6250
                0.13                   0              0.4899               12500
                0.15                   0              0.4899               12500
