                leaf          error rate             true nn           subdomain
               0.001               0.996              0.2104             2919.92
               0.002               0.996              0.2559             5839.84
               0.004              0.9966              0.3106             11679.7
               0.006              0.9966              0.3106             11679.7
               0.008              0.9965              0.3751             23359.4
                0.01              0.9965              0.3751             23359.4
               0.015              0.9965              0.3751             23359.4
                0.02              0.9966              0.4499             46718.8
                0.03              0.9966              0.4499             46718.8
                0.05              0.9966              0.5344             93437.5
