                leaf          error rate             true nn           subdomain
               0.001              0.9959              0.1604             2919.92
               0.002              0.9958              0.1836             5839.84
               0.004              0.9952              0.2082             11679.7
               0.006              0.9952              0.2082             11679.7
               0.008              0.9952              0.2408             23359.4
                0.01              0.9952              0.2408             23359.4
               0.015              0.9952              0.2408             23359.4
                0.02              0.9957              0.2836             46718.8
                0.03              0.9957              0.2836             46718.8
                0.05              0.9957              0.3374             93437.5
