                leaf          error rate             true nn           subdomain
                0.01                   0               0.275             781.259
               0.013                   0               0.275             781.259
               0.015                   0               0.275             781.259
                0.02                   0              0.3491             1562.51
                0.03                   0              0.3491             1562.51
                0.05                   0              0.4379                3125
                0.08                   0              0.5363                6250
                 0.1                   0              0.5363                6250
                0.13                   0              0.6438               12500
                0.15                   0              0.6438               12500
