                leaf          error rate             true nn           subdomain
                0.01                   0              0.2129             781.281
               0.013                   0              0.2129             781.281
               0.015                   0              0.2129             781.281
                0.02                   0               0.269             1562.52
                0.03                   0               0.269             1562.52
                0.05                   0               0.346             3125.02
                0.08                   0              0.4284                6250
                 0.1                   0              0.4284                6250
                0.13                   0              0.5244               12500
                0.15                   0              0.5244               12500
