                leaf          error rate             true nn           subdomain
                0.01                   0              0.2068             781.264
               0.013                   0              0.2068             781.264
               0.015                   0              0.2068             781.264
                0.02                   0               0.266              1562.5
                0.03                   0               0.266              1562.5
                0.05                   0               0.334             3124.99
                0.08                   0              0.4263                6250
                 0.1                   0              0.4263                6250
                0.13                   0               0.535               12500
                0.15                   0               0.535               12500
