                leaf          error rate             true nn           subdomain
                0.01                   0              0.1741             781.254
               0.013                   0              0.1741             781.254
               0.015                   0              0.1741             781.254
                0.02                   0              0.2322              1562.5
                0.03                   0              0.2322              1562.5
                0.05                   0              0.2993                3125
                0.08                   0              0.3852                6250
                 0.1                   0              0.3852                6250
                0.13                   0              0.4822               12500
                0.15                   0              0.4822               12500
