                leaf          error rate             true nn           subdomain
                0.01                   0               0.121             781.265
               0.013                   0               0.121             781.265
               0.015                   0               0.121             781.265
                0.02                   0              0.1763             1562.52
                0.03                   0              0.1763             1562.52
                0.05                   0              0.2468             3125.02
                0.08                   0              0.3393             6250.01
                 0.1                   0              0.3393             6250.01
                0.13                   0               0.456               12500
                0.15                   0               0.456               12500
