                leaf          error rate             true nn           subdomain
                0.01                   0              0.1065              781.25
               0.013                   0              0.1065              781.25
               0.015                   0              0.1065              781.25
                0.02                   0              0.1464              1562.5
                0.03                   0              0.1464              1562.5
                0.05                   0               0.199                3125
                0.08                   0              0.2759                6250
                 0.1                   0              0.2759                6250
                0.13                   0               0.383               12500
                0.15                   0               0.383               12500
