                leaf          error rate             true nn           subdomain
               0.001              0.9961              0.1746             2919.92
               0.002              0.9963              0.2208             5839.84
               0.004              0.9961              0.2691             11679.7
               0.006              0.9961              0.2691             11679.7
               0.008              0.9967              0.3265             23359.4
                0.01              0.9967              0.3265             23359.4
               0.015              0.9967              0.3265             23359.4
                0.02              0.9969              0.3956             46718.8
                0.03              0.9969              0.3956             46718.8
                0.05              0.9969              0.4722             93437.5
