                leaf          error rate             true nn           subdomain
               0.001              0.9965              0.1112             2919.92
               0.002              0.9951              0.1472             5839.84
               0.004              0.9959              0.1952             11679.7
               0.006              0.9959              0.1952             11679.7
               0.008              0.9968              0.2556             23359.4
                0.01              0.9968              0.2556             23359.4
               0.015              0.9968              0.2556             23359.4
                0.02              0.9967              0.3315             46718.7
                0.03              0.9967              0.3315             46718.7
                0.05              0.9961              0.4273             93437.5
