                leaf          error rate             true nn           subdomain
               0.001              0.9963              0.2942             2919.92
               0.002              0.9958              0.3591             5839.84
               0.004              0.9962              0.4274             11679.7
               0.006              0.9962              0.4274             11679.7
               0.008              0.9961              0.5034             23359.4
                0.01              0.9961              0.5034             23359.4
               0.015              0.9961              0.5034             23359.4
                0.02              0.9964              0.5822             46718.8
                0.03              0.9964              0.5822             46718.8
                0.05              0.9965              0.6735             93437.5
