                leaf          error rate             true nn           subdomain
               0.001              0.9846              0.4492             972.841
               0.002              0.9836              0.5567             1945.66
               0.004              0.9837              0.6577             3891.31
               0.006              0.9837              0.6577             3891.31
               0.008              0.9828              0.7464              7782.6
                0.01              0.9828              0.7464              7782.6
               0.015              0.9828              0.7464              7782.6
                0.02              0.9826              0.8191             15565.2
                0.03              0.9826              0.8191             15565.2
                0.05              0.9831              0.8616             31130.4
