                leaf          error rate             true nn           subdomain
               0.001              0.9873              0.2828             972.812
               0.002              0.9866              0.3824             1945.63
               0.004              0.9868              0.5042             3891.29
               0.006              0.9868              0.5042             3891.29
               0.008              0.9853              0.6331             7782.59
                0.01              0.9853              0.6331             7782.59
               0.015              0.9853              0.6331             7782.59
                0.02              0.9854              0.7506             15565.2
                0.03              0.9854              0.7506             15565.2
                0.05              0.9836              0.8336             31130.3
