                leaf          error rate             true nn           subdomain
               0.001              0.9851              0.5583             972.778
               0.002              0.9843              0.6699             1945.59
               0.004              0.9838              0.7657             3891.25
               0.006              0.9838              0.7657             3891.25
               0.008              0.9836              0.8354             7782.53
                0.01              0.9836              0.8354             7782.53
               0.015              0.9836              0.8354             7782.53
                0.02              0.9833              0.8762             15565.1
                0.03              0.9833              0.8762             15565.1
                0.05              0.9831              0.8981             31130.3
