                leaf          error rate             true nn           subdomain
               0.001              0.9874              0.6021             972.824
               0.002              0.9868               0.693             1945.65
               0.004              0.9867              0.7736             3891.29
               0.006              0.9867              0.7736             3891.29
               0.008              0.9857              0.8288             7782.59
                0.01              0.9857              0.8288             7782.59
               0.015              0.9857              0.8288             7782.59
                0.02              0.9853               0.869             15565.2
                0.03              0.9853               0.869             15565.2
                0.05              0.9842              0.8886             31130.3
