                leaf          error rate             true nn           subdomain
               0.001              0.9854              0.0931              972.83
               0.002              0.9862              0.1195             1945.66
               0.004              0.9851              0.1576             3891.31
               0.006              0.9851              0.1576             3891.31
               0.008              0.9845              0.2098              7782.6
                0.01              0.9845              0.2098              7782.6
               0.015              0.9845              0.2098              7782.6
                0.02              0.9849              0.2689             15565.2
                0.03              0.9849              0.2689             15565.2
                0.05              0.9843              0.3438             31130.3
