                leaf          error rate             true nn           subdomain
               0.001              0.9854              0.1104             972.798
               0.002              0.9845              0.1518             1945.62
               0.004              0.9847              0.1988             3891.27
               0.006              0.9847              0.1988             3891.27
               0.008              0.9847              0.2651             7782.56
                0.01              0.9847              0.2651             7782.56
               0.015              0.9847              0.2651             7782.56
                0.02              0.9843              0.3451             15565.1
                0.03              0.9843              0.3451             15565.1
                0.05              0.9842               0.444             31130.3
