                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1              0.9875              0.0925             780.101             12.8615
               0.002                 0.1              0.9872              0.1123             1300.42              10.707
               0.004                 0.1              0.9865              0.1592              3613.5             7.43198
               0.006                 0.1              0.9865              0.1592              3613.5             7.43198
               0.008                 0.1              0.9868              0.1959             6022.97             6.19229
                0.01                 0.1              0.9868              0.1959             6022.97             6.19229
               0.015                 0.1              0.9871              0.2296             10038.8             5.16024
                0.02                 0.1              0.9868               0.275             16731.5             4.30011
                0.03                 0.1              0.9864               0.329             27885.9             3.58326
                0.05                 0.1              0.9851              0.3887             46476.9             2.98603
