                leaf          error rate             true nn           subdomain
                0.01              0.9859              0.2383             781.355
               0.013              0.9859              0.2383             781.355
               0.015              0.9859              0.2383             781.355
                0.02              0.9858              0.3079             1562.62
                0.03              0.9858              0.3079             1562.62
                0.05              0.9853              0.3968             3125.14
                0.08              0.9858              0.4955             6250.11
                 0.1              0.9858              0.4955             6250.11
                0.13              0.9859              0.5943             12500.1
                0.15              0.9859              0.5943             12500.1
