                leaf          error rate             true nn           subdomain
                0.01              0.9855              0.1214             781.256
               0.013              0.9855              0.1214             781.256
               0.015              0.9855              0.1214             781.256
                0.02              0.9862              0.1659              1562.5
                0.03              0.9862              0.1659              1562.5
                0.05              0.9858              0.2248                3125
                0.08              0.9862              0.2944                6250
                 0.1              0.9862              0.2944                6250
                0.13              0.9871              0.3937               12500
                0.15              0.9871              0.3937               12500
