                leaf          error rate             true nn           subdomain
               0.015              0.5042              0.3216             390.626
                0.03              0.4884              0.3947             781.237
                0.06              0.4791               0.467             1562.48
                0.09              0.4703              0.5489             3124.98
                 0.1              0.4703              0.5489             3124.98
                0.13              0.4607              0.6361                6250
                0.15              0.4607              0.6361                6250
                0.17              0.4607              0.6361                6250
                0.19              0.4607              0.6361                6250
                0.21              0.4607              0.6361                6250
