                leaf          error rate             true nn           subdomain
               0.015              0.4892              0.8054             390.667
                0.03              0.4764              0.9042             781.275
                0.06              0.4637              0.9642             1562.52
                0.09              0.4498              0.9924             3125.02
                 0.1              0.4498              0.9924             3125.02
                0.13              0.4417              0.9992             6250.01
                0.15              0.4417              0.9992             6250.01
                0.17              0.4417              0.9992             6250.01
                0.19              0.4417              0.9992             6250.01
                0.21              0.4417              0.9992             6250.01
