                leaf          error rate             true nn           subdomain
               0.015              0.4688              0.5598             390.697
                0.03              0.4539              0.6659             781.276
                0.06              0.4431              0.7631             1562.52
                0.09              0.4362              0.8479             3125.01
                 0.1              0.4362              0.8479             3125.01
                0.13              0.4329              0.9158                6250
                0.15              0.4329              0.9158                6250
                0.17              0.4329              0.9158                6250
                0.19              0.4329              0.9158                6250
                0.21              0.4329              0.9158                6250
