                leaf          error rate             true nn           subdomain
               0.015              0.5136              0.8552             390.623
                0.03               0.496              0.9157              781.25
                0.06              0.4859              0.9553              1562.5
                0.09               0.473              0.9777                3125
                 0.1               0.473              0.9777                3125
                0.13               0.456              0.9897                6250
                0.15               0.456              0.9897                6250
                0.17               0.456              0.9897                6250
                0.19               0.456              0.9897                6250
                0.21               0.456              0.9897                6250
