                leaf          error rate             true nn           subdomain
               0.015              0.5049              0.8741             390.629
                0.03              0.4963               0.918             781.255
                0.06              0.4816              0.9539             1562.49
                0.09              0.4678              0.9745                3125
                 0.1              0.4678              0.9745                3125
                0.13              0.4551              0.9888                6250
                0.15              0.4551              0.9888                6250
                0.17              0.4551              0.9888                6250
                0.19              0.4551              0.9888                6250
                0.21              0.4551              0.9888                6250
