                leaf          error rate             true nn           subdomain
               0.015              0.4942              0.3005             390.673
                0.03              0.4746              0.3883             781.312
                0.06              0.4601               0.489             1562.53
                0.09              0.4488              0.6036             3125.01
                 0.1              0.4488              0.6036             3125.01
                0.13              0.4412              0.7274             6249.99
                0.15              0.4412              0.7274             6249.99
                0.17              0.4412              0.7274             6249.99
                0.19              0.4412              0.7274             6249.99
                0.21              0.4412              0.7274             6249.99
