                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                 0.1              0.4863              0.4826             503.533              4.3008
                0.03                 0.1              0.4653              0.6148             1399.29             2.98624
                0.06                 0.1               0.454              0.6832             2332.54             2.48832
                0.09                 0.1              0.4502              0.7504                3888              2.0736
                 0.1                 0.1              0.4502              0.7504                3888              2.0736
                0.13                 0.1              0.4443              0.8094                6480               1.728
                0.15                 0.1              0.4443              0.8094                6480               1.728
                0.17                 0.1              0.4443              0.8094                6480               1.728
                0.19                 0.1              0.4443              0.8094                6480               1.728
                0.21                 0.1              0.4443              0.8094                6480               1.728
