                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                 0.1              0.4786              0.5369                 503             4.29568
                0.03                 0.1              0.4629              0.6589                1399             2.98496
                0.06                 0.1              0.4545              0.7208                2332             2.48832
                0.09                 0.1               0.448              0.7795                3888              2.0736
                 0.1                 0.1               0.448              0.7795                3888              2.0736
                0.13                 0.1              0.4393              0.8385                6480               1.728
                0.15                 0.1              0.4393              0.8385                6480               1.728
                0.17                 0.1              0.4393              0.8385                6480               1.728
                0.19                 0.1              0.4393              0.8385                6480               1.728
                0.21                 0.1              0.4393              0.8385                6480               1.728
