                leaf          error rate             true nn           subdomain
               0.015              0.0585              0.8711             468.757
                0.03              0.0505              0.9044             937.509
                0.06              0.0467              0.9325                1875
                0.09              0.0435              0.9549                3750
                 0.1              0.0435              0.9549                3750
                0.13              0.0407              0.9725                7500
                0.15              0.0407              0.9725                7500
                0.17              0.0407              0.9725                7500
                0.19              0.0407              0.9725                7500
                0.21              0.0407              0.9725                7500
