                leaf          error rate             true nn           subdomain
               0.015               0.048              0.9495             468.771
                0.03              0.0427              0.9703             937.499
                0.06               0.039              0.9844             1874.99
                0.09              0.0351              0.9929                3750
                 0.1              0.0351              0.9929                3750
                0.13              0.0329              0.9968                7500
                0.15              0.0329              0.9968                7500
                0.17              0.0329              0.9968                7500
                0.19              0.0329              0.9968                7500
                0.21              0.0329              0.9968                7500
