                leaf          error rate             true nn           subdomain
               0.015              0.0506               0.909             468.748
                0.03              0.0438              0.9521             937.498
                0.06              0.0404              0.9799             1874.98
                0.09              0.0383              0.9922             3749.97
                 0.1              0.0383              0.9922             3749.97
                0.13              0.0357              0.9977                7500
                0.15              0.0357              0.9977                7500
                0.17              0.0357              0.9977                7500
                0.19              0.0357              0.9977                7500
                0.21              0.0357              0.9977                7500
