                leaf          error rate             true nn           subdomain
               0.015              0.0344              0.9943             468.932
                0.03              0.0327              0.9972             937.582
                0.06              0.0324              0.9985             1875.08
                0.09               0.032              0.9991             3750.05
                 0.1               0.032              0.9991             3750.05
                0.13              0.0311              0.9997             7500.02
                0.15              0.0311              0.9997             7500.02
                0.17              0.0311              0.9997             7500.02
                0.19              0.0311              0.9997             7500.02
                0.21              0.0311              0.9997             7500.02
