                leaf          error rate             true nn           subdomain
               0.015              0.0535              0.9329             468.746
                0.03              0.0504              0.9517             937.476
                0.06              0.0459              0.9684                1875
                0.09              0.0424              0.9781                3750
                 0.1              0.0424              0.9781                3750
                0.13              0.0395               0.987                7500
                0.15              0.0395               0.987                7500
                0.17              0.0395               0.987                7500
                0.19              0.0395               0.987                7500
                0.21              0.0395               0.987                7500
