                leaf          error rate             true nn           subdomain
               0.015              0.0514              0.4356             468.762
                0.03              0.0454              0.5205             937.496
                0.06              0.0418              0.6184             1874.98
                0.09              0.0388              0.7074             3749.99
                 0.1              0.0388              0.7074             3749.99
                0.13              0.0361              0.7965                7500
                0.15              0.0361              0.7965                7500
                0.17              0.0361              0.7965                7500
                0.19              0.0361              0.7965                7500
                0.21              0.0361              0.7965                7500
