                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0507              0.5017             502.122               1.952
                0.03                0.05              0.0435              0.6286             1660.48              1.6112
                0.06                0.05              0.0394              0.6907             3019.53             1.46427
                0.09                0.05              0.0394              0.6907             3019.53             1.46427
                 0.1                0.05              0.0381              0.7568             5490.23             1.33107
                0.13                0.05              0.0381              0.7568             5490.23             1.33107
                0.15                0.05              0.0381              0.7568             5490.23             1.33107
                0.17                0.05              0.0353              0.8206             9982.51                1.21
                0.19                0.05              0.0353              0.8206             9982.51                1.21
                0.21                0.05              0.0353              0.8206             9982.51                1.21
