                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0445               0.679                 502             1.94773
                0.03                0.05              0.0398              0.7671                1660             1.61013
                0.06                0.05              0.0374              0.8145                3019               1.464
                0.09                0.05              0.0374              0.8145                3019               1.464
                 0.1                0.05              0.0365              0.8514                5490             1.33093
                0.13                0.05              0.0365              0.8514                5490             1.33093
                0.15                0.05              0.0365              0.8514                5490             1.33093
                0.17                0.05              0.0354              0.8822                9982                1.21
                0.19                0.05              0.0354              0.8822                9982                1.21
                0.21                0.05              0.0354              0.8822                9982                1.21
