                leaf          error rate             true nn           subdomain
               0.001                   0              0.6464             962.368
               0.002                   0              0.7209             1924.74
               0.004                   0              0.7881             3849.47
               0.006                   0              0.7881             3849.47
               0.008                   0              0.8502             7698.93
                0.01                   0              0.8502             7698.93
               0.015                   0              0.8502             7698.93
                0.02                   0              0.8968             15397.9
                0.03                   0              0.8968             15397.9
                0.05                   0              0.9345             30795.7
