                leaf          error rate             true nn           subdomain
               0.001                   0              0.1911             962.372
               0.002                   0              0.2343             1924.72
               0.004                   0              0.2836             3849.45
               0.006                   0              0.2836             3849.45
               0.008                   0              0.3483              7698.9
                0.01                   0              0.3483              7698.9
               0.015                   0              0.3483              7698.9
                0.02                   0              0.4253             15397.8
                0.03                   0              0.4253             15397.8
                0.05                   0               0.522             30795.7
