                leaf          error rate             true nn           subdomain
               0.001                   0              0.4629             962.404
               0.002                   0              0.5393             1924.77
               0.004                   0              0.6205              3849.5
               0.006                   0              0.6205              3849.5
               0.008                   0              0.6978             7698.98
                0.01                   0              0.6978             7698.98
               0.015                   0              0.6978             7698.98
                0.02                   0              0.7731             15397.9
                0.03                   0              0.7731             15397.9
                0.05                   0               0.845             30795.7
