                leaf          error rate             true nn           subdomain
               0.001                   0              0.5536             962.385
               0.002                   0              0.6342             1924.73
               0.004                   0              0.7127             3849.47
               0.006                   0              0.7127             3849.47
               0.008                   0              0.7891             7698.94
                0.01                   0              0.7891             7698.94
               0.015                   0              0.7891             7698.94
                0.02                   0               0.859             15397.9
                0.03                   0               0.859             15397.9
                0.05                   0              0.9109             30795.7
