                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05                   0              0.2525             754.679             3.14226
               0.002                0.05                   0              0.2987             1372.32             2.85546
               0.004                0.05                   0              0.3434              2495.6             2.59465
               0.006                0.05                   0              0.3983             4538.12             2.35877
               0.008                0.05                   0              0.3983             4538.12             2.35877
                0.01                0.05                   0              0.4586              8251.2             2.14394
               0.015                0.05                   0              0.4586              8251.2             2.14394
                0.02                0.05                   0              0.5236             15002.4             1.94884
                0.03                0.05                   0              0.5925             27277.7             1.77161
                0.05                0.05                   0              0.5925             27277.7             1.77161
