                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1                   0              0.4471             771.838             12.8517
               0.002                 0.1                   0              0.4913             1286.68              10.707
               0.004                 0.1                   0              0.5834             3574.72             7.43169
               0.006                 0.1                   0              0.5834             3574.72             7.43169
               0.008                 0.1                   0              0.6342             5958.38             6.19307
                0.01                 0.1                   0              0.6342             5958.38             6.19307
               0.015                 0.1                   0              0.6842             9930.76              5.1602
                0.02                 0.1                   0              0.7355             16551.5             4.30008
                0.03                 0.1                   0              0.7834               27586             3.58336
                0.05                 0.1                   0              0.8269             45977.1             2.98607
