                leaf          error rate             true nn           subdomain
               0.001                   0              0.1407             928.892
               0.002                   0              0.1911             1857.77
               0.004                   0               0.257             3715.54
               0.006                   0               0.257             3715.54
               0.008                   0              0.3368             7431.05
                0.01                   0              0.3368             7431.05
               0.015                   0              0.3368             7431.05
                0.02                   0              0.4278             14862.1
                0.03                   0              0.4278             14862.1
                0.05                   0              0.5386             29724.2
