                leaf          error rate             true nn           subdomain
               0.001                   0              0.0453             929.299
               0.002                   0              0.0592             1858.58
               0.004                   0              0.0792             3717.17
               0.006                   0              0.0792             3717.17
               0.008                   0              0.1023             7434.33
                0.01                   0              0.1023             7434.33
               0.015                   0              0.1023             7434.33
                0.02                   0              0.1323             14868.6
                0.03                   0              0.1323             14868.6
                0.05                   0              0.1745             29737.3
