                leaf          error rate             true nn           subdomain
               0.001                   0              0.0536             928.898
               0.002                   0              0.0764             1857.78
               0.004                   0              0.1103             3715.51
               0.006                   0              0.1103             3715.51
               0.008                   0              0.1537             7431.04
                0.01                   0              0.1537             7431.04
               0.015                   0              0.1537             7431.04
                0.02                   0              0.2108             14862.1
                0.03                   0              0.2108             14862.1
                0.05                   0              0.2957             29724.2
