                leaf          error rate             true nn           subdomain
               0.001                   0              0.2383             929.309
               0.002                   0              0.3104              1858.6
               0.004                   0              0.3992             3717.17
               0.006                   0              0.3992             3717.17
               0.008                   0              0.4968             7434.32
                0.01                   0              0.4968             7434.32
               0.015                   0              0.4968             7434.32
                0.02                   0               0.603             14868.6
                0.03                   0               0.603             14868.6
                0.05                   0              0.7083             29737.3
