                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                0.05                   0              0.0305             728.302             3.14356
               0.002                0.05                   0              0.0389             1324.55              2.8572
               0.004                0.05                   0              0.0509             2408.87             2.59559
               0.006                0.05                   0              0.0667             4380.08             2.35875
               0.008                0.05                   0              0.0667             4380.08             2.35875
                0.01                0.05                   0               0.085             7964.14             2.14398
               0.015                0.05                   0               0.085             7964.14             2.14398
                0.02                0.05                   0              0.1115             14480.5             1.94885
                0.03                0.05                   0              0.1407             26328.7             1.77162
                0.05                0.05                   0              0.1407             26328.7             1.77162
