                leaf          error rate             true nn           subdomain
               0.001                   0              0.0236             929.293
               0.002                   0              0.0297             1858.59
               0.004                   0              0.0376             3717.16
               0.006                   0              0.0376             3717.16
               0.008                   0              0.0488             7434.32
                0.01                   0              0.0488             7434.32
               0.015                   0              0.0488             7434.32
                0.02                   0               0.066             14868.6
                0.03                   0               0.066             14868.6
                0.05                   0              0.0939             29737.3
