                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1                   0              0.2417             745.206             12.8614
               0.002                 0.1                   0              0.2875             1242.41             10.7093
               0.004                 0.1                   0              0.3897             3451.66             7.43148
               0.006                 0.1                   0              0.3897             3451.66             7.43148
               0.008                 0.1                   0              0.4501              5753.3              6.1929
                0.01                 0.1                   0              0.4501              5753.3              6.1929
               0.015                 0.1                   0              0.5123             9589.29             5.16039
                0.02                 0.1                   0              0.5779             15982.6             4.30006
                0.03                 0.1                   0              0.6438             26638.1             3.58338
                0.05                 0.1                   0              0.7143             44397.3             2.98608
