                leaf          error rate             true nn           subdomain
               0.001              0.9958              0.0978             2919.92
               0.002              0.9959              0.1245             5839.85
               0.004              0.9961              0.1603             11679.7
               0.006              0.9961              0.1603             11679.7
               0.008              0.9967              0.2065             23359.4
                0.01              0.9967              0.2065             23359.4
               0.015              0.9967              0.2065             23359.4
                0.02              0.9971              0.2622             46718.8
                0.03              0.9971              0.2622             46718.8
                0.05              0.9962              0.3324             93437.5
