                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1              0.9971              0.1146             2342.54             12.8442
               0.002                 0.1              0.9969              0.1332             3904.58             10.7017
               0.004                 0.1              0.9973              0.1752             10847.3             7.43102
               0.006                 0.1              0.9973              0.1752             10847.3             7.43102
               0.008                 0.1              0.9975              0.2031             18079.1             6.19229
                0.01                 0.1              0.9975              0.2031             18079.1             6.19229
               0.015                 0.1              0.9975              0.2353             30132.1             5.16007
                0.02                 0.1              0.9973              0.2744             50220.3             4.29994
                0.03                 0.1              0.9973              0.3185             83700.5             3.58323
                0.05                 0.1              0.9972              0.3715              139501               2.986
