                leaf          error rate             true nn           subdomain
               0.001              0.9964              0.0723             2919.93
               0.002              0.9964              0.0906             5839.86
               0.004               0.997              0.1163             11679.7
               0.006               0.997              0.1163             11679.7
               0.008              0.9976              0.1498             23359.4
                0.01              0.9976              0.1498             23359.4
               0.015              0.9976              0.1498             23359.4
                0.02              0.9976              0.1927             46718.8
                0.03              0.9976              0.1927             46718.8
                0.05               0.997              0.2525             93437.5
