                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1              0.9975              0.2487             2342.55             12.8442
               0.002                 0.1              0.9972               0.266              3904.6             10.7017
               0.004                 0.1               0.997              0.3078             10847.3             7.43102
               0.006                 0.1               0.997              0.3078             10847.3             7.43102
               0.008                 0.1              0.9971              0.3311             18079.1             6.19229
                0.01                 0.1              0.9971              0.3311             18079.1             6.19229
               0.015                 0.1              0.9969              0.3601             30132.2             5.16007
                0.02                 0.1              0.9972              0.3914             50220.3             4.29994
                0.03                 0.1              0.9965              0.4267             83700.5             3.58323
                0.05                 0.1              0.9967              0.4672              139501               2.986
